ing_id,item_name,ing_name,ing_weight,ing_price,order_quantity,recipe_quantity,unit_cost,ordered_weight,ingredient_cost,quantity,total_iv_weight,remaining_weight
ING001,Margherita,"Tomato Sauce",200,2.50,15,2,0.012500,30,0.375000,2000,400000,399970
ING002,Margherita,"Mozzarella Cheese",150,3.00,15,1,0.020000,15,0.300000,1500,225000,224985
ING023,Margherita,Oregano,2,0.50,15,1,0.250000,15,3.750000,NULL,NULL,NULL
ING024,Margherita,Basil,2,0.50,15,1,0.250000,15,3.750000,NULL,NULL,NULL
NULL,Margherita,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ING001,Pepperoni,"Tomato Sauce",200,2.50,38,2,0.012500,76,0.950000,2000,400000,399924
ING002,Pepperoni,"Mozzarella Cheese",150,3.00,38,1,0.020000,38,0.760000,1500,225000,224962
ING003,Pepperoni,Pepperoni,50,2.50,38,1,0.050000,38,1.900000,800,40000,39962
ING023,Pepperoni,Oregano,2,0.50,38,1,0.250000,38,9.500000,NULL,NULL,NULL
ING001,Margherita,"Tomato Sauce",200,2.50,7,2,0.012500,14,0.175000,2000,400000,399986
ING002,Margherita,"Mozzarella Cheese",150,3.00,7,1,0.020000,7,0.140000,1500,225000,224993
ING023,Margherita,Oregano,2,0.50,7,1,0.250000,7,1.750000,NULL,NULL,NULL
ING024,Margherita,Basil,2,0.50,7,1,0.250000,7,1.750000,NULL,NULL,NULL
ING001,Hawaiian,"Tomato Sauce",200,2.50,30,2,0.012500,60,0.750000,2000,400000,399940
ING002,Hawaiian,"Mozzarella Cheese",150,3.00,30,1,0.020000,30,0.600000,1500,225000,224970
ING008,Hawaiian,Pineapple,50,1.50,30,1,0.030000,30,0.900000,400,20000,19970
ING009,Hawaiian,Chicken,60,2.50,30,1,0.041667,30,1.250000,600,36000,35970
NULL,"Veggie Supreme",NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"Chicken Alfredo",NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ING001,Mushroom,"Tomato Sauce",200,2.50,10,2,0.012500,20,0.250000,2000,400000,399980
ING002,Mushroom,"Mozzarella Cheese",150,3.00,10,1,0.020000,10,0.200000,1500,225000,224990
NULL,"Ham & Cheese Calzone",NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ING001,Cheeseburger,"Tomato Sauce",200,2.50,8,2,0.012500,16,0.200000,2000,400000,399984
ING002,Cheeseburger,"Mozzarella Cheese",150,3.00,8,1,0.020000,8,0.160000,1500,225000,224992
ING011,Cheeseburger,Sausage,40,2.25,8,1,0.056250,8,0.450000,400,16000,15992
ING012,Cheeseburger,"Red Onion",30,1.50,8,1,0.050000,8,0.400000,250,7500,7492
NULL,"Meat Lovers",NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ING001,"Buffalo Chicken","Tomato Sauce",200,2.50,9,2,0.012500,18,0.225000,2000,400000,399982
ING002,"Buffalo Chicken","Mozzarella Cheese",150,3.00,9,1,0.020000,9,0.180000,1500,225000,224991
ING013,"Buffalo Chicken","Black Olives",20,1.25,9,1,0.062500,9,0.562500,200,4000,3991
ING014,"Buffalo Chicken",Jalapenos,20,1.50,9,1,0.075000,9,0.675000,150,3000,2991
ING001,"BBQ Chicken","Tomato Sauce",200,2.50,7,2,0.012500,14,0.175000,2000,400000,399986
ING002,"BBQ Chicken","Mozzarella Cheese",150,3.00,7,1,0.020000,7,0.140000,1500,225000,224993
ING009,"BBQ Chicken",Chicken,60,2.50,7,1,0.041667,7,0.291667,600,36000,35993
ING010,"BBQ Chicken",Bacon,40,2.00,7,1,0.050000,7,0.350000,300,12000,11993
ING001,Vegetarian,"Tomato Sauce",200,2.50,30,2,0.012500,60,0.750000,2000,400000,399940
ING002,Vegetarian,"Mozzarella Cheese",150,3.00,30,1,0.020000,30,0.600000,1500,225000,224970
ING004,Vegetarian,"Green Peppers",30,1.50,30,1,0.050000,30,1.500000,500,15000,14970
ING005,Vegetarian,Onions,30,1.25,30,1,0.041667,30,1.250000,400,12000,11970
ING006,Vegetarian,Mushrooms,30,1.75,30,1,0.058333,30,1.750000,300,9000,8970
ING026,Vegetarian,Salt,2,0.25,30,1,0.125000,30,3.750000,NULL,NULL,NULL
NULL,"Pepperoni Calzone",NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ING001,Supreme,"Tomato Sauce",200,2.50,11,2,0.012500,22,0.275000,2000,400000,399978
ING002,Supreme,"Mozzarella Cheese",150,3.00,11,1,0.020000,11,0.220000,1500,225000,224989
ING003,Supreme,Pepperoni,50,2.50,11,1,0.050000,11,0.550000,800,40000,39989
ING007,Supreme,Ham,50,2.00,11,1,0.040000,11,0.440000,700,35000,34989
ING008,Supreme,Pineapple,50,1.50,11,1,0.030000,11,0.330000,400,20000,19989
ING011,Supreme,Sausage,40,2.25,11,1,0.056250,11,0.618750,400,16000,15989
NULL,"Vegetable Calzone",NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"Spinach & Ricotta Calzone",NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
